date,predicted_price
2013-12-30,731.052521472432
2013-12-31,772.2171047532524
2014-12-01,396.17139096596514
2014-12-02,346.8217304830458
2014-12-03,418.7010409614827
2014-12-04,385.7378316971562
2014-12-05,367.67269446513393
2014-12-06,407.81361965767627
2014-12-07,413.24805995642987
2014-12-08,288.5919249287226
2014-12-09,357.33224405150725
2014-12-10,353.31541765077833
2014-12-11,341.3367118002553
2014-12-12,372.75451784137545
2014-12-13,392.20284462985563
2014-12-14,333.36936743943505
2014-12-15,341.7240944866006
2014-12-16,397.1986932872977
2014-12-17,316.05923251097914
2014-12-18,355.7368766704599
2014-12-19,291.972357717722
2014-12-20,295.328651934327
2014-12-21,335.45893493705796
2014-12-22,343.3895036376956
2014-12-23,333.7102479975367
2014-12-24,376.3447640872463
2014-12-25,328.42233061719946
2014-12-26,336.95549683158237
2014-12-27,342.60825152673823
2014-12-28,300.1397671468875
2014-12-29,298.15066559116457
2014-12-30,301.987008923531
2014-12-31,289.9486441646003
2015-12-01,379.85736135098523
2015-12-02,349.2332562420942
2015-12-03,370.61451727405273
2015-12-04,363.788163936498
2015-12-05,373.28743118538887
2015-12-06,382.0926098346872
2015-12-07,393.47415020449296
2015-12-08,378.95016502718204
2015-12-09,436.0032775639903
2015-12-10,424.97924496657186
2015-12-11,426.99325005328114
2015-12-12,454.38825107936054
2015-12-13,430.052609260233
2015-12-14,425.79930270359813
2015-12-15,440.2571160755822
2015-12-16,484.6293786623384
2015-12-17,421.9310970654818
2015-12-18,452.01765498116094
2015-12-19,370.7133325983072
2015-12-20,440.8518723801203
2015-12-21,398.5755822640791
2015-12-22,461.0159660130805
2015-12-23,433.5804962755026
2015-12-24,472.1272565683556
2015-12-25,400.59593879212804
2015-12-26,437.0637166418355
2015-12-27,403.78608020397616
2015-12-28,425.1131060284426
2015-12-29,445.6491375006432
2015-12-30,460.3157111181504
2015-12-31,463.04930020491815
2016-12-01,794.463545519847
2016-12-02,755.7965558134786
2016-12-03,807.9948677864015
2016-12-04,717.0655815752203
2016-12-05,754.6062484325083
2016-12-06,743.367081353898
2016-12-07,814.1848458137893
2016-12-08,745.0382544153099
2016-12-09,756.2828740148302
2016-12-10,794.1867985974337
2016-12-11,840.9837934396247
2016-12-12,758.9212026084649
2016-12-13,773.2824797620834
2016-12-14,760.4504077159661
2016-12-15,791.7210982029331
2016-12-16,780.2365727051724
2016-12-17,777.2520133775765
2016-12-18,758.9258588808988
2016-12-19,761.3995274912129
2016-12-20,802.0770797814246
2016-12-21,844.718861649224
2016-12-22,807.2121038118563
2016-12-23,894.4771887613615
2016-12-24,868.4926939772301
2016-12-25,873.9544026021929
2016-12-26,889.0008059122241
2016-12-27,880.219789908142
2016-12-28,965.1908706779568
2016-12-29,962.3055106705494
2016-12-30,989.479936651144
2017-12-01,10262.491145412392
